Citys,ymd,Weather,highTemp,lowTemp,windPower
哈尔滨,20110101,阵雪/晴,-10,-20,4
哈尔滨,20110102,晴/晴,-12,-22,4
哈尔滨,20110103,晴/晴,-15,-25,4
哈尔滨,20110104,晴/晴,-17,-26,4
哈尔滨,20110105,晴/晴,-17,-24,4
哈尔滨,20110106,晴/晴,-15,-24,4
哈尔滨,20110107,晴/多云,-12,-23,4
哈尔滨,20110108,多云/晴,-14,-25,4
哈尔滨,20110109,晴/晴,-16,-27,4
哈尔滨,20110110,晴/晴,-16,-25,4
哈尔滨,20110111,阵雪/多云,-16,-27,4
哈尔滨,20110112,晴/晴,-18,-28,4
哈尔滨,20110113,多云/多云,-18,-26,4
哈尔滨,20110114,多云/晴,-20,-30,4
哈尔滨,20110115,晴/晴,-23,-30,5
哈尔滨,20110116,晴/阵雪,-18,-26,4
哈尔滨,20110117,多云/多云,-18,-24,4
哈尔滨,20110118,阵雪/阵雪,-18,-23,4
哈尔滨,20110119,阵雪/多云,-15,-23,4
哈尔滨,20110120,晴/晴,-15,-24,4
哈尔滨,20110121,晴/晴,-16,-24,微
哈尔滨,20110122,多云/阵雪,-14,-24,4
哈尔滨,20110123,阵雪/阵雪,-14,-24,4
哈尔滨,20110124,阵雪/多云,-16,-24,4
哈尔滨,20110125,多云/多云,-16,-24,4
哈尔滨,20110126,多云/晴,-17,-27,4
哈尔滨,20110127,晴/晴,-18,-27,4
哈尔滨,20110128,多云/阵雪,-19,-26,4
哈尔滨,20110129,阵雪/晴,-18,-27,4
哈尔滨,20110130,晴/晴,-15,-24,4
哈尔滨,20110131,晴/晴,-8,-17,4
哈尔滨,20110201,晴/晴,-6,-16,4
哈尔滨,20110202,晴/晴,-6,-18,4
哈尔滨,20110203,晴/多云,-7,-18,4
哈尔滨,20110204,晴/晴,-7,-21,4
哈尔滨,20110205,晴/阵雪,-5,-14,4
哈尔滨,20110206,多云/晴,-5,-18,4
哈尔滨,20110207,晴/晴,-8,-19,4
哈尔滨,20110208,晴/多云,-9,-22,4
哈尔滨,20110209,晴/晴,-13,-23,4
哈尔滨,20110210,晴/晴,-13,-25,4
哈尔滨,20110211,阵雪/小雪,-14,-22,4
哈尔滨,20110212,多云/晴,-13,-25,4
哈尔滨,20110213,晴/晴,-14,-25,4
哈尔滨,20110214,晴/晴,-10,-18,4
哈尔滨,20110215,晴/多云,-7,-16,4
哈尔滨,20110216,晴/多云,-3,-15,4
哈尔滨,20110217,多云/晴,-7,-19,4
哈尔滨,20110218,晴/晴,-5,-17,4
哈尔滨,20110219,阵雪/晴,-6,-15,4
哈尔滨,20110220,晴/晴,-1,-11,4
哈尔滨,20110221,晴/晴,2,-8,微
哈尔滨,20110222,晴/阵雪,5,-1,6
哈尔滨,20110223,阵雪/晴,3,-13,5
哈尔滨,20110224,晴/晴,-4,-16,5
哈尔滨,20110225,晴/晴,-7,-18,5
哈尔滨,20110226,阵雪/阵雪,-6,-14,4
哈尔滨,20110227,晴/晴,-6,-18,微
哈尔滨,20110228,多云/晴,-9,-16,4
哈尔滨,20110301,多云/多云,-9,-20,4
哈尔滨,20110302,晴/晴,-7,-19,4
哈尔滨,20110303,晴/晴,-5,-13,4
哈尔滨,20110304,晴/多云,-2,-10,4
哈尔滨,20110305,多云/晴,1,-12,4
哈尔滨,20110306,晴/晴,-3,-14,4
哈尔滨,20110307,阵雪/多云,-3,-14,4
哈尔滨,20110308,晴/多云,-1,-12,5
哈尔滨,20110309,晴/阵雪,-2,-9,4
哈尔滨,20110310,晴/晴,-1,-11,4
哈尔滨,20110311,晴/多云,2,-7,4
哈尔滨,20110312,多云/小雪,4,-3,4
哈尔滨,20110313,中雪/阵雪,2,-8,4
哈尔滨,20110314,晴/晴,1,-10,5
哈尔滨,20110315,多云/晴,-3,-14,4
哈尔滨,20110316,晴/晴,-2,-13,4
哈尔滨,20110317,晴/多云,3,-3,5
哈尔滨,20110318,多云/阵雪,7,-6,6
哈尔滨,20110319,晴/晴,5,-7,4
哈尔滨,20110320,晴/晴,2,-8,4
哈尔滨,20110321,晴/晴,0,-9,4
哈尔滨,20110322,晴/晴,-1,-7,4
哈尔滨,20110323,多云/多云,3,-7,4
哈尔滨,20110324,多云/晴,3,-7,4
哈尔滨,20110325,晴/晴,3,-5,4
哈尔滨,20110326,晴/多云,5,-4,4
哈尔滨,20110327,晴/晴,8,-3,4
哈尔滨,20110328,晴/晴,9,-1,4
哈尔滨,20110329,多云/多云,10,1,4
哈尔滨,20110330,晴/晴,11,2,4
哈尔滨,20110331,多云/阵雨,14,-3,4
哈尔滨,20110401,晴/晴,4,-5,6
哈尔滨,20110402,晴/晴,7,-2,4
哈尔滨,20110403,晴/晴,11,1,4
哈尔滨,20110404,晴/晴,17,3,5
哈尔滨,20110405,晴/晴,21,6,6
哈尔滨,20110406,多云/阵雨,16,3,4
哈尔滨,20110407,多云/晴,10,-1,5
哈尔滨,20110408,晴/多云,15,5,6
哈尔滨,20110409,多云/晴,9,-3,6
哈尔滨,20110410,晴/晴,9,-3,4
哈尔滨,20110411,晴/晴,12,2,5
哈尔滨,20110412,晴/晴,17,5,4
哈尔滨,20110413,晴/晴,18,3,4
哈尔滨,20110414,多云/阵雨,23,6,4
哈尔滨,20110415,晴/晴,7,-2,5
哈尔滨,20110416,晴/小雨,14,4,5
哈尔滨,20110417,中雨/阵雨,9,1,4
哈尔滨,20110418,晴/晴,11,2,4
哈尔滨,20110419,晴/多云,15,6,4
哈尔滨,20110420,阵雨/多云,12,3,4
哈尔滨,20110421,多云/多云,12,3,4
哈尔滨,20110422,多云/阵雨,13,3,4
哈尔滨,20110423,小雨/阵雨,9,3,4
哈尔滨,20110424,阵雨/多云,10,3,4
哈尔滨,20110425,多云/阵雨,12,2,4
哈尔滨,20110426,多云/晴,13,0,3
哈尔滨,20110427,晴/晴,12,1,4
哈尔滨,20110428,晴/晴,15,3,4
哈尔滨,20110429,晴/晴,19,8,4
哈尔滨,20110430,小到中雨/小雨,16,6,4
哈尔滨,20110501,阵雨/多云,17,6,4
哈尔滨,20110502,阵雨/阵雨,16,6,3
哈尔滨,20110503,晴/晴,18,6,3
哈尔滨,20110504,晴/晴,21,8,4
哈尔滨,20110505,小雨/中雨,20,8,5
哈尔滨,20110506,阵雨/雷阵雨,15,7,4
哈尔滨,20110507,雷阵雨/晴,17,6,4
哈尔滨,20110508,晴/多云,21,10,4
哈尔滨,20110509,阵雨/多云,19,8,4
哈尔滨,20110510,晴/晴,19,7,4
哈尔滨,20110511,多云/阵雨,22,12,4
哈尔滨,20110512,阵雨/阵雨,19,8,3
哈尔滨,20110513,雷阵雨/阵雨,15,6,4
哈尔滨,20110514,阵雨/阵雨,15,4,4
哈尔滨,20110515,晴/多云,16,7,4
哈尔滨,20110516,晴/晴,19,8,4
哈尔滨,20110517,晴/晴,24,12,4
哈尔滨,20110518,多云/中雨,23,11,4
哈尔滨,20110519,阵雨/晴,17,7,4
哈尔滨,20110520,多云/晴,17,5,4
哈尔滨,20110521,多云/阵雨,18,6,4
哈尔滨,20110522,多云/晴,19,8,4
哈尔滨,20110523,多云/晴,19,8,4
哈尔滨,20110524,多云/晴,22,12,4
哈尔滨,20110525,晴/晴,27,18,4
哈尔滨,20110526,晴/多云,31,17,4
哈尔滨,20110527,雷阵雨/雷阵雨,27,15,4
哈尔滨,20110528,多云/小雨,29,17,4
哈尔滨,20110529,阵雨/多云,26,16,4
哈尔滨,20110530,中雨/中雨,22,13,4
哈尔滨,20110531,阵雨/阵雨,19,13,4
哈尔滨,20110601,雷阵雨/多云,17,9,4
哈尔滨,20110602,小雨/中雨,23,15,4
哈尔滨,20110603,中雨/阵雨,20,12,4
哈尔滨,20110604,多云/多云,22,15,4
哈尔滨,20110605,多云/多云,26,16,4
哈尔滨,20110606,雷阵雨/雷阵雨,27,15,3
哈尔滨,20110607,雷阵雨/雷阵雨,25,16,3
哈尔滨,20110608,中雨/阵雨,23,15,3
哈尔滨,20110609,雷阵雨/多云,22,12,3
哈尔滨,20110610,晴/晴,24,14,3
哈尔滨,20110611,雷阵雨/雷阵雨,27,17,3
哈尔滨,20110612,晴/晴,27,13,4
哈尔滨,20110613,晴/晴,26,14,4
哈尔滨,20110614,晴/晴,26,15,4
哈尔滨,20110615,晴/多云,28,16,4
哈尔滨,20110616,晴/多云,28,19,4
哈尔滨,20110617,晴/晴,30,20,3
哈尔滨,20110618,晴/晴,32,21,3
哈尔滨,20110619,晴/晴,34,24,4
哈尔滨,20110620,晴/雷阵雨,33,20,4
哈尔滨,20110621,多云/小到中雨,30,19,4
哈尔滨,20110622,小到中雨/雷阵雨,22,15,4
哈尔滨,20110623,阵雨/多云,25,13,4
哈尔滨,20110624,多云/晴,26,14,4
哈尔滨,20110625,晴/晴,29,17,4
哈尔滨,20110626,晴/多云,32,18,4
哈尔滨,20110627,小雨/多云,24,16,4
哈尔滨,20110628,阵雨/多云,26,19,4
哈尔滨,20110629,晴/晴,32,23,4
哈尔滨,20110630,多云/雷阵雨,31,19,4
哈尔滨,20110701,多云/多云,29,20,4
哈尔滨,20110702,雷阵雨/雷阵雨,29,19,4
哈尔滨,20110703,雷阵雨/晴,27,16,4
哈尔滨,20110704,晴/晴,29,19,4
哈尔滨,20110705,多云/雷阵雨,32,22,4
哈尔滨,20110706,晴/多云,32,20,4
哈尔滨,20110707,雷阵雨/中雨,28,18,4
哈尔滨,20110708,雷阵雨/中雨,25,17,4
哈尔滨,20110709,雷阵雨/多云,26,17,4
哈尔滨,20110710,雷阵雨/多云,28,19,3
哈尔滨,20110711,雷阵雨/多云,29,20,3
哈尔滨,20110712,多云/多云,29,20,4
哈尔滨,20110713,多云/雷阵雨,28,21,4
哈尔滨,20110714,晴/雷阵雨,31,21,4
哈尔滨,20110715,雷阵雨/多云,30,20,4
哈尔滨,20110716,多云/雷阵雨,28,19,4
哈尔滨,20110717,雷阵雨/多云,28,21,4
哈尔滨,20110718,多云/多云,29,21,4
哈尔滨,20110719,多云/雷阵雨,31,22,4
哈尔滨,20110720,雷阵雨/雷阵雨,28,23,4
哈尔滨,20110721,雷阵雨/雷阵雨,29,22,4
哈尔滨,20110722,阵雨/多云,30,22,4
哈尔滨,20110723,多云/多云,31,22,4
哈尔滨,20110724,多云/多云,32,23,4
哈尔滨,20110725,多云/晴,31,23,4
哈尔滨,20110726,多云/雷阵雨,31,21,4
哈尔滨,20110727,雷阵雨/多云,29,21,4
哈尔滨,20110728,雷阵雨/雷阵雨,30,22,4
哈尔滨,20110729,雷阵雨/多云,31,22,4
哈尔滨,20110730,小雨/大雨,28,23,4
哈尔滨,20110731,中雨/小雨,26,21,4
哈尔滨,20110801,雷阵雨/多云,28,21,4
哈尔滨,20110802,晴/晴,29,18,4
哈尔滨,20110803,中雨/中雨,28,19,4
哈尔滨,20110804,阵雨/多云,26,19,4
哈尔滨,20110805,雷阵雨/晴,29,21,4
哈尔滨,20110806,晴/多云,31,22,4
哈尔滨,20110807,多云/多云,31,23,4
哈尔滨,20110808,阵雨/小雨,31,23,4
哈尔滨,20110809,大雨/小雨,27,21,5
哈尔滨,20110810,多云/晴,28,20,4
哈尔滨,20110811,晴/晴,29,20,4
哈尔滨,20110812,晴/晴,31,20,4
哈尔滨,20110813,阵雨/阵雨,29,20,4
哈尔滨,20110814,晴/晴,28,17,4
哈尔滨,20110815,多云/多云,27,17,4
哈尔滨,20110816,多云/晴,27,15,4
哈尔滨,20110817,晴/晴,27,16,4
哈尔滨,20110818,多云/多云,26,16,4
哈尔滨,20110819,多云/晴,26,15,4
哈尔滨,20110820,晴/晴,25,15,4
哈尔滨,20110821,晴/晴,27,13,4
哈尔滨,20110822,晴/晴,26,13,4
哈尔滨,20110823,晴/晴,26,14,4
哈尔滨,20110824,晴/晴,27,14,4
哈尔滨,20110825,晴/晴,27,15,4
哈尔滨,20110826,晴/晴,28,15,4
哈尔滨,20110827,晴/晴,29,15,4
哈尔滨,20110828,阵雨/多云,28,18,4
哈尔滨,20110829,多云/阵雨,27,18,4
哈尔滨,20110830,阵雨/多云,28,21,4
哈尔滨,20110831,中雨/雷阵雨,27,15,4
哈尔滨,20110901,晴/晴,22,10,3
哈尔滨,20110902,多云/晴,23,11,4
哈尔滨,20110903,晴/晴,23,11,4
哈尔滨,20110904,晴/晴,24,11,4
哈尔滨,20110905,晴/晴,24,10,4
哈尔滨,20110906,晴/晴,25,13,4
哈尔滨,20110907,晴/雷阵雨,25,12,4
哈尔滨,20110908,多云/晴,20,7,5
哈尔滨,20110909,晴/晴,20,7,4
哈尔滨,20110910,晴/晴,22,10,4
哈尔滨,20110911,多云/晴,23,10,4
哈尔滨,20110912,晴/晴,27,13,5
哈尔滨,20110913,多云/雷阵雨,25,13,5
哈尔滨,20110914,晴/小到中雨,22,14,4
哈尔滨,20110915,小雨/多云,17,7,4
哈尔滨,20110916,阵雨/晴,16,4,4
哈尔滨,20110917,晴/晴,16,4,4
哈尔滨,20110918,晴/晴,17,4,4
哈尔滨,20110919,晴/晴,20,6,4
哈尔滨,20110920,晴/晴,21,7,4
哈尔滨,20110921,晴/多云,23,7,4
哈尔滨,20110922,晴/晴,17,5,4
哈尔滨,20110923,晴/晴,21,9,4
哈尔滨,20110924,晴/阵雨,26,11,4
哈尔滨,20110925,多云/晴,22,13,5
哈尔滨,20110926,晴/多云,24,13,3
哈尔滨,20110927,多云/多云,24,13,4
哈尔滨,20110928,雷阵雨/雷阵雨,19,4,4
哈尔滨,20110929,多云/多云,6,-1,5
哈尔滨,20110930,晴/多云,11,1,4
哈尔滨,20111001,多云/晴,9,0,4
哈尔滨,20111002,晴/晴,13,1,4
哈尔滨,20111003,晴/晴,18,5,4
哈尔滨,20111004,晴/晴,19,6,4
哈尔滨,20111005,阵雨/阵雨,19,7,4
哈尔滨,20111006,多云/晴,15,1,4
哈尔滨,20111007,晴/晴,19,4,4
哈尔滨,20111008,晴/晴,21,13,6
哈尔滨,20111009,多云/晴,15,3,4
哈尔滨,20111010,晴/晴,15,3,4
哈尔滨,20111011,晴/多云,18,7,4
哈尔滨,20111012,晴/晴,19,6,4
哈尔滨,20111013,多云/多云,21,10,5
