Citys,ymd,Weather,highTemp,lowTemp
['阿城2018年11月份天气情况'],2018年11月01日,晴/晴,10℃,0℃
['阿城2018年11月份天气情况'],2018年11月02日,晴/多云,15℃,5℃
['阿城2018年11月份天气情况'],2018年11月03日,多云/雨夹雪,14℃,1℃
['阿城2018年11月份天气情况'],2018年11月04日,多云/多云,2℃,-6℃
['阿城2018年11月份天气情况'],2018年11月05日,晴/晴,2℃,-7℃
['阿城2018年11月份天气情况'],2018年11月06日,晴/多云,4℃,-7℃
['阿城2018年11月份天气情况'],2018年11月07日,晴/多云,6℃,-5℃
['阿城2018年11月份天气情况'],2018年11月08日,多云/小雨,9℃,-1℃
['阿城2018年11月份天气情况'],2018年11月09日,雨夹雪/小雪,2℃,-2℃
['阿城2018年11月份天气情况'],2018年11月10日,多云/晴,3℃,-8℃
['阿城2018年11月份天气情况'],2018年11月11日,多云/晴,5℃,-9℃
['阿城2018年11月份天气情况'],2018年11月12日,多云/多云,2℃,-6℃
['阿城2018年11月份天气情况'],2018年11月13日,多云/晴,2℃,-6℃
['阿城2018年11月份天气情况'],2018年11月14日,晴/雨夹雪,5℃,-2℃
['阿城2018年11月份天气情况'],2018年11月15日,多云/多云,2℃,-8℃
['阿城2018年11月份天气情况'],2018年11月16日,晴/晴,-1℃,-8℃
['阿城2018年11月份天气情况'],2018年11月17日,晴/多云,1℃,-11℃
['阿城2018年11月份天气情况'],2018年11月18日,多云/多云,0℃,-11℃
['阿城2018年11月份天气情况'],2018年11月19日,多云/晴,-3℃,-12℃
['阿城2018年11月份天气情况'],2018年11月20日,多云/多云,-4℃,-17℃
['阿城2018年11月份天气情况'],2018年11月21日,多云/多云,-3℃,-15℃
['阿城2018年11月份天气情况'],2018年11月22日,晴/晴,-7℃,-16℃
['阿城2018年11月份天气情况'],2018年11月23日,多云/多云,-3℃,-13℃
['阿城2018年11月份天气情况'],2018年11月24日,多云/多云,0℃,-8℃
['阿城2018年11月份天气情况'],2018年11月25日,晴/晴,1℃,-6℃
['阿城2018年11月份天气情况'],2018年11月26日,多云/多云,6℃,-6℃
['阿城2018年11月份天气情况'],2018年11月27日,多云/多云,1℃,-11℃
['阿城2018年11月份天气情况'],2018年11月28日,多云/多云,-4℃,-17℃
['阿城2018年11月份天气情况'],2018年11月29日,晴/晴,-6℃,-15℃
['阿城2018年11月份天气情况'],2018年11月30日,多云/晴,-4℃,-17℃
['阿城2018年12月份天气情况'],2018年12月01日,晴/多云,2℃,-13℃
['阿城2018年12月份天气情况'],2018年12月02日,小雨/多云,8℃,0℃
['阿城2018年12月份天气情况'],2018年12月03日,多云/多云,4℃,-12℃
['阿城2018年12月份天气情况'],2018年12月04日,多云/晴,-9℃,-18℃
['阿城2018年12月份天气情况'],2018年12月05日,晴/晴,-10℃,-21℃
['阿城2018年12月份天气情况'],2018年12月06日,多云/晴,-13℃,-23℃
['阿城2018年12月份天气情况'],2018年12月07日,多云/多云,-12℃,-23℃
['阿城2018年12月份天气情况'],2018年12月08日,晴/晴,-15℃,-24℃
['阿城2018年12月份天气情况'],2018年12月09日,晴/晴,-13℃,-22℃
['阿城2018年12月份天气情况'],2018年12月10日,晴/多云,-10℃,-20℃
['阿城2018年12月份天气情况'],2018年12月11日,晴/晴,-11℃,-22℃
['阿城2018年12月份天气情况'],2018年12月12日,多云/阵雪,-9℃,-20℃
['阿城2018年12月份天气情况'],2018年12月13日,多云/多云,-9℃,-19℃
['阿城2018年12月份天气情况'],2018年12月14日,晴/晴,-9℃,-18℃
['阿城2018年12月份天气情况'],2018年12月15日,晴/多云,-2℃,-14℃
['阿城2018年12月份天气情况'],2018年12月16日,晴/晴,-3℃,-13℃
['阿城2018年12月份天气情况'],2018年12月17日,多云/多云,-3℃,-13℃
['阿城2018年12月份天气情况'],2018年12月18日,多云/晴,-6℃,-14℃
['阿城2018年12月份天气情况'],2018年12月19日,晴/晴,-3℃,-13℃
['阿城2018年12月份天气情况'],2018年12月20日,晴/多云,-2℃,-14℃
['阿城2018年12月份天气情况'],2018年12月21日,中雪/多云,-1℃,-9℃
['阿城2018年12月份天气情况'],2018年12月22日,晴/多云,-2℃,-17℃
['阿城2018年12月份天气情况'],2018年12月23日,晴/多云,-9℃,-21℃
['阿城2018年12月份天气情况'],2018年12月24日,晴/多云,-8℃,-18℃
['阿城2018年12月份天气情况'],2018年12月25日,多云/多云,-9℃,-25℃
['阿城2018年12月份天气情况'],2018年12月26日,晴/多云,-16℃,-29℃
['阿城2018年12月份天气情况'],2018年12月27日,晴/晴,-17℃,-24℃
['阿城2018年12月份天气情况'],2018年12月28日,晴/晴,-16℃,-24℃
['阿城2018年12月份天气情况'],2018年12月29日,晴/晴,-16℃,-24℃
['阿城2018年12月份天气情况'],2018年12月30日,晴/多云,-12℃,-22℃
['阿城2018年12月份天气情况'],2018年12月31日,晴/晴,-13℃,-22℃
['安达2018年11月份天气情况'],2018年11月01日,晴/晴,13℃,0℃
['安达2018年11月份天气情况'],2018年11月02日,晴/多云,15℃,2℃
['安达2018年11月份天气情况'],2018年11月03日,多云/小雨,12℃,-1℃
['安达2018年11月份天气情况'],2018年11月04日,多云/晴,2℃,-8℃
['安达2018年11月份天气情况'],2018年11月05日,晴/晴,2℃,-10℃
['安达2018年11月份天气情况'],2018年11月06日,晴/晴,5℃,-5℃
['安达2018年11月份天气情况'],2018年11月07日,晴/多云,6℃,-4℃
['安达2018年11月份天气情况'],2018年11月08日,多云/雨夹雪,8℃,-1℃
['安达2018年11月份天气情况'],2018年11月09日,小雨/雨夹雪,1℃,-1℃
['安达2018年11月份天气情况'],2018年11月10日,多云/多云,2℃,-8℃
['安达2018年11月份天气情况'],2018年11月11日,多云/晴,3℃,-8℃
['安达2018年11月份天气情况'],2018年11月12日,晴/晴,3℃,-7℃
['安达2018年11月份天气情况'],2018年11月13日,晴/晴,3℃,-6℃
['安达2018年11月份天气情况'],2018年11月14日,多云/小雪,6℃,-5℃
['安达2018年11月份天气情况'],2018年11月15日,多云/晴,0℃,-13℃
['安达2018年11月份天气情况'],2018年11月16日,晴/晴,-1℃,-7℃
['安达2018年11月份天气情况'],2018年11月17日,多云/多云,1℃,-7℃
['安达2018年11月份天气情况'],2018年11月18日,晴/多云,0℃,-11℃
['安达2018年11月份天气情况'],2018年11月19日,晴/晴,-2℃,-11℃
['安达2018年11月份天气情况'],2018年11月20日,晴/晴,-5℃,-15℃
['安达2018年11月份天气情况'],2018年11月21日,多云/多云,-4℃,-16℃
['安达2018年11月份天气情况'],2018年11月22日,晴/多云,-8℃,-18℃
['安达2018年11月份天气情况'],2018年11月23日,晴/晴,-5℃,-15℃
['安达2018年11月份天气情况'],2018年11月24日,多云/晴,-1℃,-11℃
['安达2018年11月份天气情况'],2018年11月25日,晴/多云,1℃,-7℃
['安达2018年11月份天气情况'],2018年11月26日,多云/晴,7℃,-7℃
['安达2018年11月份天气情况'],2018年11月27日,多云/多云,-2℃,-13℃
['安达2018年11月份天气情况'],2018年11月28日,多云/晴,-6℃,-19℃
['安达2018年11月份天气情况'],2018年11月29日,晴/多云,-7℃,-16℃
['安达2018年11月份天气情况'],2018年11月30日,多云/晴,-5℃,-14℃
['安达2018年12月份天气情况'],2018年12月01日,多云/多云,-2℃,-8℃
['安达2018年12月份天气情况'],2018年12月02日,多云/多云,6℃,-3℃
['安达2018年12月份天气情况'],2018年12月03日,多云/多云,2℃,-13℃
