Citys,ymd,Weather,highTemp,lowTemp,windPower
ЙўЖћБѕ,20110101,еѓбЉ/Чч,-10,-20,4
ЙўЖћБѕ,20110102,Чч/Чч,-12,-22,4
ЙўЖћБѕ,20110103,Чч/Чч,-15,-25,4
ЙўЖћБѕ,20110104,Чч/Чч,-17,-26,4
ЙўЖћБѕ,20110105,Чч/Чч,-17,-24,4
ЙўЖћБѕ,20110106,Чч/Чч,-15,-24,4
ЙўЖћБѕ,20110107,Чч/ЖрдЦ,-12,-23,4
ЙўЖћБѕ,20110108,ЖрдЦ/Чч,-14,-25,4
ЙўЖћБѕ,20110109,Чч/Чч,-16,-27,4
ЙўЖћБѕ,20110110,Чч/Чч,-16,-25,4
ЙўЖћБѕ,20110111,еѓбЉ/ЖрдЦ,-16,-27,4
ЙўЖћБѕ,20110112,Чч/Чч,-18,-28,4
ЙўЖћБѕ,20110113,ЖрдЦ/ЖрдЦ,-18,-26,4
ЙўЖћБѕ,20110114,ЖрдЦ/Чч,-20,-30,4
ЙўЖћБѕ,20110115,Чч/Чч,-23,-30,5
ЙўЖћБѕ,20110116,Чч/еѓбЉ,-18,-26,4
ЙўЖћБѕ,20110117,ЖрдЦ/ЖрдЦ,-18,-24,4
ЙўЖћБѕ,20110118,еѓбЉ/еѓбЉ,-18,-23,4
ЙўЖћБѕ,20110119,еѓбЉ/ЖрдЦ,-15,-23,4
ЙўЖћБѕ,20110120,Чч/Чч,-15,-24,4
ЙўЖћБѕ,20110121,Чч/Чч,-16,-24,ЮЂ
ЙўЖћБѕ,20110122,ЖрдЦ/еѓбЉ,-14,-24,4
ЙўЖћБѕ,20110123,еѓбЉ/еѓбЉ,-14,-24,4
ЙўЖћБѕ,20110124,еѓбЉ/ЖрдЦ,-16,-24,4
ЙўЖћБѕ,20110125,ЖрдЦ/ЖрдЦ,-16,-24,4
ЙўЖћБѕ,20110126,ЖрдЦ/Чч,-17,-27,4
ЙўЖћБѕ,20110127,Чч/Чч,-18,-27,4
ЙўЖћБѕ,20110128,ЖрдЦ/еѓбЉ,-19,-26,4
ЙўЖћБѕ,20110129,еѓбЉ/Чч,-18,-27,4
ЙўЖћБѕ,20110130,Чч/Чч,-15,-24,4
ЙўЖћБѕ,20110131,Чч/Чч,-8,-17,4
ЙўЖћБѕ,20110201,Чч/Чч,-6,-16,4
ЙўЖћБѕ,20110202,Чч/Чч,-6,-18,4
ЙўЖћБѕ,20110203,Чч/ЖрдЦ,-7,-18,4
ЙўЖћБѕ,20110204,Чч/Чч,-7,-21,4
ЙўЖћБѕ,20110205,Чч/еѓбЉ,-5,-14,4
ЙўЖћБѕ,20110206,ЖрдЦ/Чч,-5,-18,4
ЙўЖћБѕ,20110207,Чч/Чч,-8,-19,4
ЙўЖћБѕ,20110208,Чч/ЖрдЦ,-9,-22,4
ЙўЖћБѕ,20110209,Чч/Чч,-13,-23,4
ЙўЖћБѕ,20110210,Чч/Чч,-13,-25,4
ЙўЖћБѕ,20110211,еѓбЉ/аЁбЉ,-14,-22,4
ЙўЖћБѕ,20110212,ЖрдЦ/Чч,-13,-25,4
ЙўЖћБѕ,20110213,Чч/Чч,-14,-25,4
ЙўЖћБѕ,20110214,Чч/Чч,-10,-18,4
ЙўЖћБѕ,20110215,Чч/ЖрдЦ,-7,-16,4
ЙўЖћБѕ,20110216,Чч/ЖрдЦ,-3,-15,4
ЙўЖћБѕ,20110217,ЖрдЦ/Чч,-7,-19,4
ЙўЖћБѕ,20110218,Чч/Чч,-5,-17,4
ЙўЖћБѕ,20110219,еѓбЉ/Чч,-6,-15,4
ЙўЖћБѕ,20110220,Чч/Чч,-1,-11,4
ЙўЖћБѕ,20110221,Чч/Чч,2,-8,ЮЂ
ЙўЖћБѕ,20110222,Чч/еѓбЉ,5,-1,6
ЙўЖћБѕ,20110223,еѓбЉ/Чч,3,-13,5
ЙўЖћБѕ,20110224,Чч/Чч,-4,-16,5
ЙўЖћБѕ,20110225,Чч/Чч,-7,-18,5
ЙўЖћБѕ,20110226,еѓбЉ/еѓбЉ,-6,-14,4
ЙўЖћБѕ,20110227,Чч/Чч,-6,-18,ЮЂ
ЙўЖћБѕ,20110228,ЖрдЦ/Чч,-9,-16,4
ЙўЖћБѕ,20110301,ЖрдЦ/ЖрдЦ,-9,-20,4
ЙўЖћБѕ,20110302,Чч/Чч,-7,-19,4
ЙўЖћБѕ,20110303,Чч/Чч,-5,-13,4
ЙўЖћБѕ,20110304,Чч/ЖрдЦ,-2,-10,4
ЙўЖћБѕ,20110305,ЖрдЦ/Чч,1,-12,4
ЙўЖћБѕ,20110306,Чч/Чч,-3,-14,4
ЙўЖћБѕ,20110307,еѓбЉ/ЖрдЦ,-3,-14,4
ЙўЖћБѕ,20110308,Чч/ЖрдЦ,-1,-12,5
ЙўЖћБѕ,20110309,Чч/еѓбЉ,-2,-9,4
ЙўЖћБѕ,20110310,Чч/Чч,-1,-11,4
ЙўЖћБѕ,20110311,Чч/ЖрдЦ,2,-7,4
ЙўЖћБѕ,20110312,ЖрдЦ/аЁбЉ,4,-3,4
ЙўЖћБѕ,20110313,жабЉ/еѓбЉ,2,-8,4
ЙўЖћБѕ,20110314,Чч/Чч,1,-10,5
ЙўЖћБѕ,20110315,ЖрдЦ/Чч,-3,-14,4
ЙўЖћБѕ,20110316,Чч/Чч,-2,-13,4
ЙўЖћБѕ,20110317,Чч/ЖрдЦ,3,-3,5
ЙўЖћБѕ,20110318,ЖрдЦ/еѓбЉ,7,-6,6
ЙўЖћБѕ,20110319,Чч/Чч,5,-7,4
ЙўЖћБѕ,20110320,Чч/Чч,2,-8,4
ЙўЖћБѕ,20110321,Чч/Чч,0,-9,4
ЙўЖћБѕ,20110322,Чч/Чч,-1,-7,4
ЙўЖћБѕ,20110323,ЖрдЦ/ЖрдЦ,3,-7,4
ЙўЖћБѕ,20110324,ЖрдЦ/Чч,3,-7,4
ЙўЖћБѕ,20110325,Чч/Чч,3,-5,4
ЙўЖћБѕ,20110326,Чч/ЖрдЦ,5,-4,4
ЙўЖћБѕ,20110327,Чч/Чч,8,-3,4
ЙўЖћБѕ,20110328,Чч/Чч,9,-1,4
ЙўЖћБѕ,20110329,ЖрдЦ/ЖрдЦ,10,1,4
ЙўЖћБѕ,20110330,Чч/Чч,11,2,4
ЙўЖћБѕ,20110331,ЖрдЦ/еѓгъ,14,-3,4
ЙўЖћБѕ,20110401,Чч/Чч,4,-5,6
ЙўЖћБѕ,20110402,Чч/Чч,7,-2,4
ЙўЖћБѕ,20110403,Чч/Чч,11,1,4
ЙўЖћБѕ,20110404,Чч/Чч,17,3,5
ЙўЖћБѕ,20110405,Чч/Чч,21,6,6
ЙўЖћБѕ,20110406,ЖрдЦ/еѓгъ,16,3,4
ЙўЖћБѕ,20110407,ЖрдЦ/Чч,10,-1,5
ЙўЖћБѕ,20110408,Чч/ЖрдЦ,15,5,6
ЙўЖћБѕ,20110409,ЖрдЦ/Чч,9,-3,6
ЙўЖћБѕ,20110410,Чч/Чч,9,-3,4
ЙўЖћБѕ,20110411,Чч/Чч,12,2,5
ЙўЖћБѕ,20110412,Чч/Чч,17,5,4
ЙўЖћБѕ,20110413,Чч/Чч,18,3,4
ЙўЖћБѕ,20110414,ЖрдЦ/еѓгъ,23,6,4
ЙўЖћБѕ,20110415,Чч/Чч,7,-2,5
ЙўЖћБѕ,20110416,Чч/аЁгъ,14,4,5
ЙўЖћБѕ,20110417,жагъ/еѓгъ,9,1,4
ЙўЖћБѕ,20110418,Чч/Чч,11,2,4
ЙўЖћБѕ,20110419,Чч/ЖрдЦ,15,6,4
ЙўЖћБѕ,20110420,еѓгъ/ЖрдЦ,12,3,4
ЙўЖћБѕ,20110421,ЖрдЦ/ЖрдЦ,12,3,4
ЙўЖћБѕ,20110422,ЖрдЦ/еѓгъ,13,3,4
ЙўЖћБѕ,20110423,аЁгъ/еѓгъ,9,3,4
ЙўЖћБѕ,20110424,еѓгъ/ЖрдЦ,10,3,4
ЙўЖћБѕ,20110425,ЖрдЦ/еѓгъ,12,2,4
ЙўЖћБѕ,20110426,ЖрдЦ/Чч,13,0,3
ЙўЖћБѕ,20110427,Чч/Чч,12,1,4
ЙўЖћБѕ,20110428,Чч/Чч,15,3,4
ЙўЖћБѕ,20110429,Чч/Чч,19,8,4
ЙўЖћБѕ,20110430,аЁЕНжагъ/аЁгъ,16,6,4
ЙўЖћБѕ,20110501,еѓгъ/ЖрдЦ,17,6,4
ЙўЖћБѕ,20110502,еѓгъ/еѓгъ,16,6,3
ЙўЖћБѕ,20110503,Чч/Чч,18,6,3
ЙўЖћБѕ,20110504,Чч/Чч,21,8,4
ЙўЖћБѕ,20110505,аЁгъ/жагъ,20,8,5
ЙўЖћБѕ,20110506,еѓгъ/Рзеѓгъ,15,7,4
ЙўЖћБѕ,20110507,Рзеѓгъ/Чч,17,6,4
ЙўЖћБѕ,20110508,Чч/ЖрдЦ,21,10,4
ЙўЖћБѕ,20110509,еѓгъ/ЖрдЦ,19,8,4
ЙўЖћБѕ,20110510,Чч/Чч,19,7,4
ЙўЖћБѕ,20110511,ЖрдЦ/еѓгъ,22,12,4
ЙўЖћБѕ,20110512,еѓгъ/еѓгъ,19,8,3
ЙўЖћБѕ,20110513,Рзеѓгъ/еѓгъ,15,6,4
ЙўЖћБѕ,20110514,еѓгъ/еѓгъ,15,4,4
ЙўЖћБѕ,20110515,Чч/ЖрдЦ,16,7,4
ЙўЖћБѕ,20110516,Чч/Чч,19,8,4
ЙўЖћБѕ,20110517,Чч/Чч,24,12,4
ЙўЖћБѕ,20110518,ЖрдЦ/жагъ,23,11,4
ЙўЖћБѕ,20110519,еѓгъ/Чч,17,7,4
ЙўЖћБѕ,20110520,ЖрдЦ/Чч,17,5,4
ЙўЖћБѕ,20110521,ЖрдЦ/еѓгъ,18,6,4
ЙўЖћБѕ,20110522,ЖрдЦ/Чч,19,8,4
ЙўЖћБѕ,20110523,ЖрдЦ/Чч,19,8,4
ЙўЖћБѕ,20110524,ЖрдЦ/Чч,22,12,4
ЙўЖћБѕ,20110525,Чч/Чч,27,18,4
ЙўЖћБѕ,20110526,Чч/ЖрдЦ,31,17,4
ЙўЖћБѕ,20110527,Рзеѓгъ/Рзеѓгъ,27,15,4
ЙўЖћБѕ,20110528,ЖрдЦ/аЁгъ,29,17,4
ЙўЖћБѕ,20110529,еѓгъ/ЖрдЦ,26,16,4
ЙўЖћБѕ,20110530,жагъ/жагъ,22,13,4
ЙўЖћБѕ,20110531,еѓгъ/еѓгъ,19,13,4
ЙўЖћБѕ,20110601,Рзеѓгъ/ЖрдЦ,17,9,4
ЙўЖћБѕ,20110602,аЁгъ/жагъ,23,15,4
ЙўЖћБѕ,20110603,жагъ/еѓгъ,20,12,4
ЙўЖћБѕ,20110604,ЖрдЦ/ЖрдЦ,22,15,4
ЙўЖћБѕ,20110605,ЖрдЦ/ЖрдЦ,26,16,4
ЙўЖћБѕ,20110606,Рзеѓгъ/Рзеѓгъ,27,15,3
ЙўЖћБѕ,20110607,Рзеѓгъ/Рзеѓгъ,25,16,3
ЙўЖћБѕ,20110608,жагъ/еѓгъ,23,15,3
ЙўЖћБѕ,20110609,Рзеѓгъ/ЖрдЦ,22,12,3
ЙўЖћБѕ,20110610,Чч/Чч,24,14,3
ЙўЖћБѕ,20110611,Рзеѓгъ/Рзеѓгъ,27,17,3
ЙўЖћБѕ,20110612,Чч/Чч,27,13,4
ЙўЖћБѕ,20110613,Чч/Чч,26,14,4
ЙўЖћБѕ,20110614,Чч/Чч,26,15,4
ЙўЖћБѕ,20110615,Чч/ЖрдЦ,28,16,4
ЙўЖћБѕ,20110616,Чч/ЖрдЦ,28,19,4
ЙўЖћБѕ,20110617,Чч/Чч,30,20,3
ЙўЖћБѕ,20110618,Чч/Чч,32,21,3
ЙўЖћБѕ,20110619,Чч/Чч,34,24,4
ЙўЖћБѕ,20110620,Чч/Рзеѓгъ,33,20,4
ЙўЖћБѕ,20110621,ЖрдЦ/аЁЕНжагъ,30,19,4
ЙўЖћБѕ,20110622,аЁЕНжагъ/Рзеѓгъ,22,15,4
ЙўЖћБѕ,20110623,еѓгъ/ЖрдЦ,25,13,4
